YEAR,B [m w.e.],sigma B [m w.e.],DM [Gt],sigma_DM [Gt],SLE [mm],sigma_SLE [mm],DM_cum [Gt],sigma_DM_cum [Gt],B_cum [m w.e.]
1976,0.05190451641322289,0.41347114797492057,42.14290872591416,149.9258467551145,-0.11625629993355631,0.4135885427727296,42.14290872591416,149.9258467551145,0.05190451641322289
1977,-0.04884439489605124,0.41259542878482636,-34.042201329169146,149.55844750598783,0.09390952090805282,0.4125750276027251,8.100707396745015,211.76753468282004,0.0030601215171716517
1978,-0.04664728806743686,0.41285002668537496,-32.32246023210805,149.28741985184797,0.0891654075368498,0.4118273651085461,-24.221752835363034,259.09886621068284,-0.043587166550265205
1979,-0.05694530416288687,0.4127952916268329,-42.65957343637355,149.0104893510103,0.11768158189344427,0.41106341889933873,-66.88132627173658,298.89186741744726,-0.10053247071315208
1980,0.06679983072716135,0.410876539178146,53.49555487709023,148.53680012238226,-0.14757394448852476,0.40975668999277864,-13.385771394646355,333.76568037904286,-0.03373263998599073
1981,0.09168851053138076,0.4138589986608405,71.01532242151175,148.43982297043257,-0.19590433771451518,0.40948916681498637,57.6295510268654,365.2860665866942,0.05795587054539003
1982,-0.1054204611394711,0.4138677360370336,-78.46780573509207,148.12337000598862,0.2164629123726678,0.4086161931199686,-20.83825470822667,394.17565016666083,-0.04746459059408106
1983,0.1877577655323885,0.41294612899969546,138.7517667361652,147.98434502946867,-0.3827634944445937,0.4082326759433618,117.91351202793852,421.0389644179154,0.14029317493830742
1984,-0.1087364616843641,0.4122381432323026,-77.8134913702562,147.45137187946466,0.21465790722829298,0.4067624051847301,40.10002065768232,446.1117759342907,0.031556713253943325
1985,0.007624409254893161,0.41221900227521147,7.175558445671314,147.13455532682823,-0.019794643988058795,0.40588842848780204,47.275579103353635,469.7491820093679,0.039181122508836486
1986,-0.0015076607558348106,0.4113458068913439,2.457997201177146,146.79018776524583,-0.0067806819342817815,0.4049384490075747,49.73357630453078,492.15003121266426,0.03767346175300167
1987,0.1538365142114571,0.4087461692398269,113.77514423461228,146.09783221450027,-0.31386246685410285,0.4030285026606904,163.50872053914307,513.3772782276234,0.1915099759644588
1988,0.07643738122713295,0.40792176282476356,56.05849652030543,145.61579206394222,-0.15464412833187705,0.40169873672811646,219.5672170594485,533.6292614716813,0.26794735719159174
1989,-0.13179953462307573,0.40408314493956443,-96.49392263840339,144.87667749689533,0.2661901314162852,0.39965979999143536,123.0732944210451,552.9461460046099,0.136147822568516
1990,-0.34575616381307794,0.40354264454273003,-253.30536154320188,144.38519373740775,0.6987734111536603,0.3983039827238834,-130.23206712215676,571.4862417870968,-0.20960834124456193
1991,-0.13632076910382393,0.40262514554261664,-100.51983576149206,143.71724566734815,0.27729609865239185,0.3964613673582018,-230.75190288364882,589.2802145449557,-0.34592911034838586
1992,0.11107185570597627,0.4008605731736739,80.7368850125898,143.2542584657749,-0.2227224414140408,0.39518416128489625,-150.01501787105903,606.4428693807257,-0.23485725464240959
1993,-0.2029420646399375,0.4011267362567296,-147.17546015857283,142.76022829910667,0.4060012694029595,0.3938213194458115,-297.1904780296319,623.0196117352496,-0.43779931928234705
1994,-0.1669836696727268,0.4001502888599258,-120.56546140324942,142.0767632593687,0.33259437628482597,0.3919358986465344,-417.7559394328813,639.0142746958003,-0.6047829889550739
1995,-0.25845924867202696,0.4000162884948878,-185.95359028938515,141.6254994177533,0.512975421487959,0.3906910328765608,-603.7095297222664,654.5204544934618,-0.8632422376271008
1996,-0.08149866952230454,0.39967427969258795,-57.311920810986635,140.87072753572116,0.15810185051306658,0.388608903546817,-661.0214505332531,669.5084668820635,-0.9447409071494054
1997,-0.4440770938951105,0.39963463230597773,-317.05782451016614,140.50590309826813,0.8746422745108031,0.3876024913055673,-978.0792750434192,684.0931925054007,-1.388818001044516
1998,-0.13628300180317646,0.39850526314103407,-97.94453722340758,139.82904976850241,0.2701918268231933,0.38573530970621356,-1076.0238122668268,698.237537798845,-1.5251010028476923
1999,-0.3563141155063262,0.39998818453360696,-253.1003259928647,139.3116118093166,0.6982077958423853,0.3843078946463906,-1329.1241382596916,711.9995676798569,-1.8814151183540186
2000,-0.1816069030920773,0.30179930130866117,-128.72169002979192,84.89874037566851,0.3550943173235639,0.2342034217259821,-1457.8458282894835,717.0433602605063,-2.063022021446096
2001,-0.23721043617302473,0.2948139355410332,-167.45241226291608,83.701959525385,0.46193768900114784,0.23090195731140692,-1625.2982405523996,721.9121820014312,-2.3002324576191207
2002,-0.20724023307463763,0.28835976165636323,-145.74293052035404,80.72902384212712,0.40204946350442494,0.22270075542655757,-1771.0411710727537,726.4119862809054,-2.507472690693758
2003,-0.23557494816469782,0.28649412693830856,-165.79698854574372,80.37189678460038,0.45737100288481025,0.22171557733682865,-1936.8381596184975,730.8447274252751,-2.7430476388584557
2004,-0.511751701609908,0.2871168786865236,-356.16115902220406,80.30916315222208,0.9825135421302181,0.22154251904061265,-2292.9993186407014,735.2438896662351,-3.254799340468364
2005,-0.5341990092405172,0.28635848138745584,-370.31871887797354,79.62868959376809,1.0215688796633753,0.21966535060349818,-2663.318037518675,739.5433087371932,-3.7889983497088813
2006,-0.3599396095592918,0.28533896801719405,-250.71759603950443,78.86314972293712,0.6916347476951846,0.21755351647706792,-2914.035633558179,743.7363120637434,-4.148937959268173
2007,-0.44632313280087904,0.2862722227550511,-308.39523312358455,78.59948017379325,0.8507454706857505,0.2168261522035676,-3222.4308666817637,747.8780516673614,-4.595261092069053
2008,-0.18977211160483884,0.2699163474760366,-133.32810292240424,71.54220288489188,0.3678016632342186,0.1973578010617707,-3355.7589696041678,751.2921315702645,-4.785033203673891
2009,-0.3795646792707955,0.26991262491039064,-259.95563473509515,71.20115934065957,0.7171189923726763,0.19641699128457812,-3615.714604339263,754.6585135349932,-5.164597882944687
2010,-0.27152164868831324,0.26991495214732364,-181.51622680176249,70.90386161213453,0.5007344187634827,0.19559685961968146,-3797.2308311410256,757.9820773886136,-5.436119531633
2011,-0.5633312701430784,0.269319351851275,-383.0078444794522,70.83304052643464,1.0565733640812476,0.19540149110740593,-4180.238675620478,761.2845389685631,-5.999450801776079
2012,-0.29478497119933045,0.26856688578297183,-203.80009023390429,70.0866177435271,0.5622071454728393,0.19334239377524717,-4384.038765854382,764.5039458755625,-6.2942357729754095
2013,-0.37999072804461426,0.2627923565615952,-253.0789588455222,67.70336529674266,0.6981488519876475,0.1867679042668763,-4637.117724699904,767.4959471761458,-6.674226501020024
2014,-0.21132773702917518,0.2622798424139851,-140.73379602144303,67.14354344438327,0.38823116143846353,0.18522356812243662,-4777.851520721347,770.42733879197,-6.885554238049199
2015,-0.37541790631012906,0.2611509932645549,-256.5824532012161,66.95633512207166,0.7078136640033547,0.18470713137123218,-5034.4339739225625,773.3313876799882,-7.260972144359328
2016,-0.5424613484303581,0.2612202308123699,-359.6480083523106,66.59408679303185,0.9921324368339604,0.18370782563594992,-5394.081982274873,776.1934086082244,-7.803433492789686
2017,-0.4213352598332625,0.26205398875497515,-279.14397313666854,66.41511222037458,0.7700523396873614,0.18321410267689542,-5673.225955411541,779.0296365980558,-8.224768752622948
2018,-0.370106987137072,0.2617189474628659,-247.64992599975258,66.13912577030217,0.6831722096544899,0.18245276074566116,-5920.875881411293,781.8321806217488,-8.59487573976002
2019,-0.740453709421662,0.2625309201535126,-482.50213004132934,66.43300357258333,1.3310403587347017,0.18326345813126435,-6403.378011452623,784.6495412726841,-9.335329449181682
2020,-0.7238453153335103,0.2631971983124828,-481.91970843629076,65.94429829050675,1.3294336784449399,0.18191530562898414,-6885.297719888913,787.4157434903502,-10.059174764515191
2021,-0.4415764728378529,0.262382698433215,-285.07098149637034,65.16827382931903,0.786402707576194,0.1797745484946732,-7170.368701385283,790.1078768183204,-10.500751237353045
2022,-0.6885975627931137,0.26391990119569514,-454.0941185549511,65.29048606761262,1.2526734304964169,0.18011168570375896,-7624.462819940234,792.8009236758616,-11.189348800146158
2023,-0.9292641806655768,0.2720787077709911,-601.6862500572133,68.47202365360951,1.6598241380888645,0.18888834111340555,-8226.149069997447,795.7522997795984,-12.118612980811735
