YEAR,ALA,WNA,ACN,ACS,GRL,ISL,SJM,SCA,RUA,ASN,CEU,CAU,ASC,ASW,ASE,TRP,SA,NZL,ANT
1915,,,,,,,,,,,0.9967822835392430,,,,,,,,
1916,,,,,,,,,,,1.1535500173469000,,,,,,,,
1917,,,,,,,,,,,-0.00421134942510836,,,,,,,,
1918,,,,,,,,,,,0.77764292920219,,,,,,,,
1919,,,,,,,,,,,0.05361244807385720,,,,,,,,
1920,,,,,,,,,,,0.2354101258142580,,,,,,,,
1921,,,,,,,,,,,-2.0944796324790100,,,,,,,,
1922,,,,,,,,,,,0.28613970822638600,,,,,,,,
1923,,,,,,,,,,,0.09642669704662340,,,,,,,,
1924,,,,,,,,,,,0.6155825934866220,,,,,,,,
1925,,,,,,,,,,,0.3881270775650760,,,,,,,,
1926,,,,,,,,,,,0.2429444334923830,,,,,,,,
1927,,,,,,,,,,,0.4246511020152940,,,,,,,,
1928,,,,,,,,,,,-0.856405125563085,,,,,,,,
1929,,,,,,,,,,,-1.0999708324841500,,,,,,,,
1930,,,,,,,,,,,-0.11456820638920900,,,,,,,,
1931,,,,,,,,,,,0.6801241814610390,,,,,,,,
1932,,,,,,,,,,,-0.920592560483846,,,,,,,,
1933,,,,,,,,,,,0.43785883852689200,,,,,,,,
1934,,,,,,,,,,,-0.2354694088351560,,,,,,,,
1935,,,,,,,,,,,0.4781834341273510,,,,,,,,
1936,,,,,,,,,,,0.3128662566844470,,,,,,,,
1937,,,,,,,,,,,0.25359625496276400,,,,,,,,
1938,,,,,,,,,,,0.05107904985098400,,,,,,,,
1939,,,,,,,,,,,-0.23131245979009100,,,,,,,,
1940,,,,,,,,,,,0.8053815277295790,,,,,,,,
1941,,,,,,,,,,,0.9073829242137130,,,,,,,,
1942,,,,,,,,,,,-0.9833036233932730,,,,,,,,
1943,,,,,,,,,,,-0.22557665938434400,,,,,,,,
1944,,,,,,,,,,,-0.021945994855463900,,,,,,,,
1945,,,,,,,,,,,0.058708916787626600,,,,,,,,
1946,-0.372726359718448,0.20656653578997200,,,,,-0.6046729003179190,-0.5572100846864940,-0.5008103269704910,,0.304871086281942,,,,,,,,
1947,0.027044775421443300,0.666888190110493,,,,,-1.248409589445050,-1.9615405242253400,-1.1484667091007000,,-2.354338345044170,,,,,,,,
1948,0.18683121789637300,0.851053781688344,,,,,-0.4849049813991190,-0.3715539189043080,-0.3801031489544850,,1.2467086731627200,,,,,,,,
1949,0.5966315518277480,1.3228450452328200,,,,0.22361804529733800,-0.062413866950354200,0.5495503265683030,0.04512716124533170,,-1.1403893699387400,,,,,,,,
1950,-0.5135656382957530,0.04570162951106540,,,,-0.12897089175950500,-0.7061739835140400,-0.4327918168812670,-0.6025344306538100,,-1.1118012162872800,,,,,,,,
1951,-0.6737810165771660,-0.13845013115989100,,,,-0.308829551251164,-0.715960119535836,-0.46596844825046000,-0.612263271885636,,0.03500317260041660,,,,,,,,
1952,-0.17423724496418900,0.4367882936146570,,,,0.30298513453812900,-0.32711442916272100,0.3662250019806540,-0.22086852420854700,,-0.724270210478957,,,,,,,,
1953,-0.22568597978658600,-0.42509972079687900,,,,-0.5317971948509270,-0.5962743355634480,-0.5272390435881550,-0.49157469332879300,,-0.17113221792240500,-0.577312390531674,,,,,,,
1954,0.002719441748390290,0.24884941381707700,,,,-0.47414778178585800,-0.7933995068553890,-0.6649968714748740,-0.6897904666854630,,0.020343479471761200,-0.42366702433894900,,,,,,,
1955,1.1693732376289300,0.5381001562689770,,,,-0.27255565216086800,-0.519849318713371,-0.2562058195237710,-0.41439037636898800,,0.679719205047682,-0.2124492371125350,,,,,,,
1956,-0.25595265130616400,0.2702395771304770,,,,-0.042172835774849500,-0.49125498161203600,-0.051784654396581500,-0.38546743222564600,,0.11042601167576400,-0.2977818633504820,,,,,,,
1957,0.10384731120455000,-0.033211273971884400,,,,0.11624267417209500,-0.5106969987563820,0.052630016283321600,-0.4048753864278230,-0.32193037337828900,0.2204579142977750,-0.3225193958401490,0.19085080507783200,0.28438815876111300,-0.16033761498926200,,,,
1958,-0.06114490719950290,-2.7653663572121900,,,,0.022765777748494200,-0.5301452799106750,-0.03745867023040590,-0.4242859844113790,0.1568536740100290,-0.2512795450182500,-0.7009876736326090,0.670923730494746,0.7644034534621920,0.3197327227281710,,,,
1959,-0.14495061638184100,0.5802384952492390,,,,-0.8407881317441360,-0.7176995903071770,-0.8776622579938290,-0.6128487008311580,-0.277083876446351,-0.4637376358893230,-0.6735561891251,0.20130735526196700,0.014722961498375500,-0.12496123178415900,,,,
1960,-0.2031824193146840,-0.47572177475670300,-0.4672751909312180,-0.7159597008080440,-0.7103054445274170,-0.7039540856498320,-1.1213866466841200,-1.1453899762763300,-1.0188920636769300,-0.2746325815315290,0.37558758996473100,-0.2871157148506990,0.23965444263836300,0.33443471897120200,-0.11166369810631300,,,,
1961,0.24375104208056200,-0.9436283381267890,-0.04631946504736680,-0.30532790570782400,-0.06429366302894130,-0.2936299689905180,-0.7277921969731800,-0.46442898850978900,-0.6226873606062250,-0.40712478701014700,0.40007700442044200,-0.28406906712743200,0.07093267136210280,-0.1252337842711340,-0.25449218978640600,,,,
1962,-0.02297209791651680,0.15864057179382200,-0.644535526552027,-0.8626670117952430,-0.7169360761971370,0.5988978145724390,-0.14207743696360500,0.9738559230772710,-0.033172375960546400,-0.5377702722735100,-0.3060061078881770,-0.6152101335432910,-0.06087955768226840,-0.2552216496043660,-0.3864707482316540,,,,
1963,0.4903750480812220,-1.0869534307161100,-0.028006255612062200,-0.25519191580886200,0.17868570186535400,-0.8380846549843000,-0.4448899028137350,-0.553303755527879,-0.3377358912970630,0.20179544335740800,-0.0396520526346006,-0.5864118683521760,0.7240284150600590,0.8744170216919680,0.36774755165631300,,,,
1964,1.204661850746270,1.1889949967426500,0.3530790366787790,0.10660468689670200,0.5733048627062880,-0.01284876645845330,-0.14252114026290100,0.3851998344099230,-0.0333654059605577,0.11569060142458600,-0.720634082577754,-0.8028225368536720,0.6563897786957750,0.954269268687875,0.28697295993633400,,,,
1965,0.5351260467841300,-0.11581060885576900,0.1163093365769780,-0.11450360872760600,0.339872124670094,0.08594644409349720,-0.10908871422987300,0.5790581750045750,0.0003623160733680390,0.062171803938667500,0.9094958923864020,0.24878807879277900,0.5483183695909580,0.4147504302110370,0.21729022315963400,,,,
1966,-0.42814472043413600,0.018175518361369300,-0.013186337382409700,-0.25800324344323100,0.02963762056209080,-0.6708331427653810,-0.6135455319686600,-0.5890371485183760,-0.5071918863546110,-0.2994004227529160,0.8422684191796530,-0.039620582776831300,0.23638983613091500,0.49433973780472000,-0.12952596185373000,,,,
1967,-0.39619837422354500,-0.4292556748861690,0.11225958859477300,-0.12439554803596400,0.1703793224065370,0.3895098206268740,-0.3314379567302030,0.6622188299779440,-0.22451185790936700,-0.058086444179656100,0.30485839705894900,-0.21352847891012100,0.46996976433332000,0.6644266982368530,0.10966293991377700,,,,
