RGIId,CenLat,CenLon,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RGI60-06.00203,65.5847,-18.3719,1070.3639823500268,671.5290212509047,468.38035606354686,1162.0533181902867,217.05168533285624,283.0120831717612,512.0524120739362,773.7304142649799,953.909375546972,848.7727154538104,-128.67408488760364,27.14096578617932,492.79459609394894,1504.7178657174763,-122.17744304027978,813.5890855833915,926.4873094733256,70.23729210259802,1272.4545732587828,902.586949425446,-553.562826360893,113.2065097337446,951.927777887727,537.4991810729331,1146.7049785372271,913.6367411980156,750.5129652106982,848.1840786791288,217.34777319306443,353.41897522937273,705.2073323858178,-131.14333238096012,835.279703088595,366.3763032719377,1287.5813955914334,769.245983933257,392.1892297404523,456.1165530849848,1281.2312932011844,47.39816160355908,1591.1853474282857,232.6954721856281,-622.358655110771,1853.1049240645768,1284.7207247048598,425.2991941498212,-76.49594938352797,-308.44079249132346,-253.0007202416685,-355.569731435284,65.5074002591815,-481.1261366025711,-478.3710147479864,50.208500130599646,-413.0251501463164,-615.4105586029021,215.9114095513855,96.84392183984168,-22.685122360398864,-128.58324232080415,329.62321839986373,-2319.214751235085,140.7859168738299,256.1387653601523,207.39980865615053,-450.35416475654335,1249.9942080029512,-583.4980415866534,52.19345686444677,743.420583200538,-1020.3534892938144,-13.769942967788268,-672.9744087981076,575.6816534210882,-578.3682510476954
RGI60-06.00377,64.5867,-16.2675,439.8265390067384,134.35614815441107,-21.52283004755644,508.2354230769778,-214.8613455327961,-165.05805093343673,9.403329004304489,208.7930035005173,345.84733928539384,264.7386438281848,-483.31619855133374,-364.9766650497588,-9.785665241097988,763.0159723038794,-481.7050370508065,232.79462200490795,318.1351364663164,-337.52349133784264,580.5521465793425,296.651937310737,-817.8118480802293,-309.27711890697594,330.6566600528247,12.435231675344603,476.74796442725113,297.0245376208237,170.68621039141104,243.63779087266312,-240.4922557127233,-138.40807562514064,128.47086969032247,-513.1745852466918,223.3161782744557,-137.7350592161621,563.8129311982559,164.5539371084694,-126.93755443102452,793.6000580957325,545.4718240500038,-461.57859503948646,1090.4600597555225,1.44747495198569,-807.3019781902613,1032.4852190398135,916.035412341098,330.8814468879351,-459.0972761923632,-540.6490946310474,-545.5997259524869,-890.2842324404405,-537.9950358223703,-1202.1226973731063,-220.45227008284408,-349.22579219625675,-826.4691370330936,-1038.4743641439948,-1427.8682549416706,-811.3634389357139,-513.326003512537,-612.7284860288117,-178.853906488119,-1889.0189718996244,257.4793910497767,-736.5716372987796,-213.9686452049208,-273.48626513989166,915.20602832088,-679.4570830265135,-236.01960539842403,-103.98100895647916,-787.2753320072892,-401.5094235406236,-1111.3643982817764,47.401613028720384,-936.7122834056702
RGI60-06.00477,64.6745,-17.0539,416.5066443312018,73.6280634053426,-101.23946444224708,493.9303615792999,-317.9568638786279,-261.8021525837973,-65.63695161879384,158.53405877887556,312.70681612661,221.87392338194363,-617.9862968510987,-484.79881798316416,-85.59411217100447,782.636889333139,-614.9706261428446,187.81178860301043,284.010375027793,-451.9796468089384,579.4893271544814,261.0557554948215,-990.1505272212308,-418.56478433036,300.6195575995315,-56.25907133853289,465.7469392922824,264.47836703855063,123.203001874716,205.78828884357569,-337.232359500947,-221.83380589313825,78.69886711152424,-641.0584625772844,187.0195986373141,-217.45965729151976,571.5395463345035,124.33620625092148,-201.7219655904597,710.4762615362707,556.4837664547582,-541.6172852827611,1015.795890083704,-352.1279520292129,-1102.154641805684,1164.848400190717,843.6192280234137,-31.84177425899088,-445.4687557827279,-767.5201350569636,-1139.8055127805296,-920.268518053788,-610.5547706635502,-1164.2662899298184,-706.378298370476,-557.49460718738,-944.1278623440786,-1153.3340768899627,-1355.6043671782695,-727.977292694289,-404.1031715758736,-555.9249767482435,-179.21029027637326,-2132.6864609530885,-32.80207155147654,-907.486821782823,-415.9269637602606,-404.6072434561431,916.0621562158416,-796.452263994613,-266.7451719403327,-170.6504705693625,-1022.7398655714164,-351.14625090782704,-1173.9218231734128,-51.13299309147843,-893.5735566209337
RGI60-06.00472,64.6284,-15.6083,485.2545645087743,157.45756310569533,-9.819208439559034,558.6327363463438,-217.3020409708297,-163.86997321176943,23.32743131915245,237.27428908521887,384.3316332688249,297.2872571676978,-505.4293291111677,-378.454143894324,2.6765074246331224,831.9277967720343,-503.7405398142944,262.94944231116625,354.515007759,-349.0546611057428,636.0846595228256,331.4338919385325,-864.4598470153337,-318.7810276654533,367.89704251863697,26.41906213046137,524.6465067904139,331.7861698035887,196.21191626989068,274.4882510453346,-245.0155368522828,-135.47604540065544,150.8991944506276,-537.6237979756819,252.67563243239428,-134.74965151295237,618.0583473898192,189.63863294467887,-123.13748742594906,-74.42572609055169,598.428929841151,-463.6902779253088,854.9031472616164,-326.720908110937,-762.629834942027,449.3572827874066,920.96007233596,501.0379870738712,-325.609926543593,-645.3373518149155,-618.3933932334875,-1102.5306567570324,-830.7176645573462,-1672.1208694987315,216.11998491084705,-786.6835392287381,-926.3530825933298,-1103.7549154934304,-1683.4472938565016,-961.558374577955,-347.6829373670417,-812.9034784945345,-184.4281946531222,-1688.529398060837,502.3572068014914,-746.5288553150972,-308.30557837083194,-229.5893881129187,917.2436553053558,-715.8809054829412,-243.945128381544,-141.71755347385022,-655.736381927922,-483.6774918677421,-1241.8282852999685,-43.08769723583645,-1091.076758377809
RGI60-06.00407,64.0324,-16.5476,331.51188074728,12.284452387626466,-150.65462609618328,402.7455556335923,-352.8167653424504,-300.86935835915983,-118.6838164679706,89.54388689918184,232.64219087084928,147.8050405789148,-633.8481557808882,-510.31102705024347,-139.31873907711153,667.9825134281953,-632.5906443773049,113.7912383839058,202.8355773252025,-482.3061583021501,476.7575530516897,180.01481084843476,-984.489676492196,-453.3186844212822,215.1315001586267,-117.48583316588964,367.4700218333098,179.54408531816915,47.38942545652199,123.4447121978236,-382.5333730938689,-276.04994038664495,2.603662138249075,-667.9568798241633,101.3303759196702,-276.07810510653576,456.6946676639648,39.36157216574394,-265.3798416721398,651.4019924403689,436.74688580536014,-604.2671713833192,714.1463339439192,-467.651593224109,-1047.0831759846385,842.3337875832116,808.2964532473586,213.26960178726276,-515.4797745515041,-721.395017299478,-885.0300037782259,-999.8766570598708,-628.1826083356702,-1246.7505463921314,-478.3240675438723,-649.4550793055427,-916.0658144370276,-1109.9741389997632,-1345.5552444177288,-830.0235283391531,-440.2686684171387,-685.7560990943499,-237.03127279757663,-2179.986556608216,-73.91486168472844,-727.4646520847759,-340.21071019578,-495.98747501278666,849.8163102835713,-768.5082083035654,-207.1911351203297,-28.346455723578963,-1014.2210591742904,-346.2309349983873,-1218.044146021347,-58.22881227391444,-949.7837374146102
RGI60-06.00465,64.422,-15.8569,213.22070443115257,-100.73095190837913,-260.8953419026052,283.7913265316762,-459.4704247823432,-408.1725997269808,-228.7173800314636,-23.62789175872352,117.38821518628455,34.13846459580421,-734.7322177236198,-612.9251142360093,-247.61891662986312,547.0108723906266,-732.3888803421953,2.336960099846813,90.29590132381377,-583.4831342516787,360.584000629736,69.02736598891063,-1076.3321515431055,-553.190973588617,105.06820046200208,-221.62784432537197,256.18277388112773,71.97131855317359,-57.29334691387247,18.392063132953474,-478.5208712825198,-372.6903158511683,-97.32232075449758,-755.7813770005259,2.684704906306532,-366.9227792236982,356.0995744955279,-52.20929650202363,-349.35417458153387,571.9119548544129,348.29412149283155,-675.9505278821528,646.9369733314024,-530.5315636727305,-1059.364294861726,687.3747560968169,742.7833409097541,178.05389540715296,-567.2502832969734,-774.9452766213905,-903.7060149178084,-1082.3398733190286,-732.0557222782479,-1401.7029242702424,-396.9165741647656,-740.3155104639097,-1082.285029946497,-1276.792735064915,-1609.046298627761,-1045.1724023149454,-625.4855846786162,-891.5229759012068,-415.2945799637981,-2257.9438364154475,-77.65732651279816,-863.8739439713906,-441.5957048603692,-541.1580550506171,724.9768116623693,-885.8500245662434,-353.2358434194975,-198.38022871103936,-1060.5203624300852,-510.939163919387,-1352.697510348867,-184.29749197074435,-1112.4161113760997
RGI60-06.00043,65.7117,-18.6567,1064.8717496561198,709.1670746120249,527.855271971198,1145.809772234309,303.31587326574567,361.8127237963402,565.6404593328987,798.5441776428758,958.8009395764806,864.7622247272736,-6.720810764365794,131.77994187716843,546.402734013779,1447.861330948561,-2.496462473121269,831.0514618920166,931.21252305764,167.61593068738517,1238.566473534032,908.3997385247228,-389.9235420600886,203.7357780845936,950.6117790385736,580.6060774215495,1122.857556762089,914.40639210983,768.2466605601861,854.4659946637286,291.3621439357781,411.6905624005842,724.2067960372684,-22.257159024878604,837.8862720779675,418.730764596036,1238.3821718777322,774.9554915529031,437.3119124961459,1347.0091530687123,1225.9981633512302,96.74708928194502,1637.4917171023474,271.9819170263165,-502.7122242673472,1722.281033007296,1401.847137394388,696.583691151887,80.06312408853321,-190.83720191033728,-256.66774030724605,-341.5689570842362,103.75519657485188,-400.3016817622976,-133.4370094876992,-0.6763443958575621,-350.3310560102774,-500.5269558579374,-200.06765438799087,-0.5784841184278555,111.23760243114305,-90.37171903060164,488.7316798649336,-1914.2424025115872,403.9674771813761,138.3425028123528,316.2193156848239,-149.7754449155228,1400.023484422124,-373.3100763644742,242.3790604593233,685.4228908470942,-697.0032926355415,170.20137537047097,-596.402419689361,578.8929601141658,-432.5173057528502
RGI60-06.00309,64.5711,-20.2417,-14.815996604946982,-441.0986873926572,-658.6395365635533,80.5692332853041,-928.478760449649,-859.0091082050766,-615.5901622869015,-337.38667904968423,-146.16792256866836,-259.37866178744576,-1303.258846077744,-1138.1580763905993,-642.5517271519989,435.7946624697205,-1301.1470207310535,-304.1589787384264,-185.11226626081125,-1100.0705301731075,180.98597557902855,-215.2178812738171,-1770.4070723610382,-1060.837953731914,-167.91508828466507,-612.0221135951457,35.82922723552828,-215.0230543777104,-391.3856886746363,-289.66137551675223,-965.3053874110004,-822.9438374570207,-450.63462449550246,-1346.1085288737756,-318.52185807695747,-822.4836601066553,156.30006199741382,-401.0331025950673,-808.0268343797084,80.793474283783,129.59720015782688,-1176.0933795138344,365.73739875077626,-1050.1251035420628,-1910.663148066125,521.7651292151124,-5.8646640156269285,-748.8560137562499,-1343.4066023284197,-1670.496909820165,-1598.9133996079368,-1775.3861672309915,-1164.4116223616209,-1428.4729711125487,-1631.4229521546536,-1357.091118429897,-1705.648668634296,-1751.882509214403,-1017.70365959949,-1094.4729225346991,-1183.0090097269672,-1403.4674077764842,-622.7427428093638,-3457.160882390584,-984.2919932074816,-681.25569340603,-732.3193630962446,-1539.5108554367257,358.90084236435007,-1527.3345285416103,-821.4445177086194,-144.3768987519835,-2011.4208810879647,-802.9005261029001,-1637.302434638289,-390.46360773510895,-1483.4912572318106
RGI60-06.00291,64.571,-20.4355,-249.54904807335907,-676.0595045303196,-893.5244265106442,-152.8977755203132,-1162.9365939493266,-1092.945021538781,-848.7448797655574,-569.6927612858641,-377.7255366319202,-490.5881578320585,-1535.387586560006,-1369.5042742201522,-872.6301258232022,207.82115482605815,-1530.8890576217184,-531.844296049875,-411.9222067308705,-1327.3998612142957,-43.77442785946228,-439.689124324729,-1996.145901520494,-1284.647964365367,-389.48120275087695,-833.1317761734448,-183.23570861780448,-433.2078808929671,-608.4961416776935,-505.21022664919457,-1180.2568927481673,-1036.0351913777165,-661.4015790831781,-1556.1438199957756,-524.9686118802252,-1027.2469156548796,-44.46842823510592,-599.6382160512602,-1003.9056733964944,-111.52414132358416,-57.03492544112338,-1359.3195124102283,187.93193439285204,-1218.3288660843025,-2071.048886454153,398.3435476769729,-143.13942213123175,-869.1182003438507,-1471.004284383515,-1848.3846725523583,-1738.2117316745291,-1718.9923189387082,-1170.0475476610816,-1627.6986573275187,-1843.8714304577643,-1610.7536841796273,-1890.6031803912003,-1999.9922322621296,-1291.257824718433,-1436.405792565697,-1553.5271874499151,-1774.6856610028456,-961.6248764319872,-3817.913638718686,-1298.2832722083313,-1024.4754004388026,-1039.212153364702,-1907.118552186364,17.36765716398274,-1885.529683963523,-1162.9913049366887,-443.15864466071497,-2310.9413985584024,-1129.0207696681168,-1911.3792475581229,-736.1182124610915,-1819.0457546385428
RGI60-06.00471,64.3468,-15.9305,-48.3959432373173,-362.18792682350096,-521.8463633850223,24.782419877656288,-719.0260815410502,-666.6539485474387,-485.8124976150053,-279.2217623485777,-136.76042956859894,-218.93028232947844,-987.9886541479432,-864.5209016706053,-496.97235576250296,300.8583507362584,-979.305373389888,-241.23490437232877,-151.05314073758916,-823.9399156485549,124.4009750028385,-165.102126716886,-1309.847691849258,-782.5267720928708,-119.50682857682096,-443.0240261915323,39.965288995348935,-139.89459915195553,-264.1440243573369,-182.3905387261627,-673.6019229767162,-559.9802902011011,-275.4152556230436,-925.2365417752142,-153.79841346487677,-510.798982782423,229.22927499484723,-161.6040846299705,-437.850501406272,508.4240287351613,315.4193028429576,-677.8329252543074,678.7533730716041,-469.6504703920223,-1010.4317783085004,767.8926796413317,796.062113176684,216.91578487378135,-530.0278584300399,-745.3097548931662,-899.0023293568033,-1097.184061226697,-807.873578018105,-1604.5939182685854,-654.6466994089279,-977.6793568821626,-1472.1817661184464,-1685.519216474706,-2006.1085682339528,-1452.2221322873704,-1041.9316511962538,-1297.6632578287586,-822.0029363815722,-2646.2754376039165,-405.2321369715261,-1147.0116835147155,-716.9448025058243,-812.7449737766103,499.9921827492148,-1108.4373755053973,-570.8064553107785,-412.06931196741255,-1293.1058901028994,-728.0782729115929,-1581.914297805446,-419.92976361266506,-1347.6507199833222
