RGIId,CenLat,CenLon,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RGI60-18.00686,-44.4545,168.609,-372.2949114351834,-574.9487198869539,224.3613655030788,490.6063579585496,293.7469378363101,328.68714961051575,-1166.051435181853,2133.489651651862,-524.1244194881689,330.3748252402204,-764.6746925680502,666.9420157392717,1398.5789730091642,-514.0828135596562,-530.130519744906,-287.1120879898668,1119.9874113624903,34.0562278848095,-803.3428214166748,-303.7809455365323,-417.2775293577562,-1132.7136100150012,1535.576467726292,-2049.15143798115,-135.5620473117512,282.8431291371244,-1187.806908583956,-715.072770254576,-1849.3173449244252,901.337532434384,294.8632047984253,341.19974372918585,-1849.12362221674,-951.1934331193128,-255.09779197952665,-2027.376019709612,-796.0237395972581,73.5125376932368,-2.8332517320015107,-93.20985429141142,-1491.894910488274,-54.53601053891992,-2389.490423551024,-1926.239313148838,-1584.8662421501738,-705.5701404880107,-1484.5472127509888,-1384.2981069356802
RGI60-18.02397,-43.4933,170.22,-171.3007327722486,-376.7710968480933,428.1173391504461,695.3689532281845,495.5286745623273,529.3606659001383,-979.4944769462346,2346.308268341661,-335.45483020622567,524.4258755346386,-581.8397708023067,859.7428765527275,1595.2673107231412,-336.0208508336254,-354.8889472420016,-112.73435561792164,1303.0746104216444,204.52253834598375,-643.7030166985385,-143.9996404039686,-262.850584654907,-989.0036306841978,1696.9806311538923,-1922.7159062719804,3.111930054038765,417.02449791945367,-1053.047689149097,-579.3637065547122,-1711.70444841275,1065.866202318668,476.6763834462357,531.9434132644632,-1640.554694406899,-738.5825605219725,22.280601892302084,-1795.3900058370227,-500.87378012273393,420.4375587238815,232.9755052289875,273.6153839885509,-1166.4092601685943,236.25366690409336,-2039.2468245894609,-1690.1055291026405,-1188.6826873144378,-519.9905754536634,-1177.4980187524457,-1100.2768731320548
RGI60-18.03357,-43.1326,170.926,353.2494508137856,146.61906619606816,963.1418722087828,1235.3510877960257,1034.6868944078828,1070.739419641643,-455.19284462846986,2914.489974841696,201.1508240447002,1074.1673336439906,-43.53960033835463,1418.8386217180464,2166.46940299098,213.94496930580783,198.1365094789153,446.8870701728565,1884.3301874268848,776.0599779934821,-78.441915977159,432.228308422729,316.8035627582447,-413.41876944731314,2311.378373926861,-1349.275078605157,604.2859808090931,1010.7339832788392,-459.3718483149735,14.618613103827473,-1116.0548807628177,1551.0088451569472,982.5403617461886,1047.7654748389514,-1070.426822646922,-216.69366071353227,433.1939077009261,-1485.6637356875146,-120.73674122276331,861.8893730917698,494.5408239262066,689.5033682755943,-793.9864667244842,545.6686504332173,-1623.809811639087,-1446.622217672127,-708.9581373291378,-350.84646292825704,-812.9579384978208,-763.7103270368863
RGI60-18.02342,-43.5653,170.238,-727.0595690935621,-931.7200972380036,-125.74410982998896,142.5294739286649,-56.3335301004835,-21.40587335901202,-1529.4397553104395,1798.3498218975924,-882.6889386132663,-21.1918569034834,-1126.1764576744438,317.3775238456397,1054.8452918456496,-874.9537783460664,-891.7423249803891,-647.2715356471188,771.313528147525,-324.8130174344874,-1170.3264529751866,-667.3682177851816,-782.8687886913845,-1505.6104887572696,1184.647111527244,-2432.331020648857,-503.170786694922,-89.65352745239073,-1560.0925440427927,-1086.9546604241914,-2220.221055151778,521.1040094374011,-73.93816177958962,-21.92415238660874,-2194.526484073912,-1304.568288027785,-604.4537902341538,-2435.5454252425247,-1140.139196868426,-217.404446827172,-420.39145241326855,-369.4609189023986,-1808.848870763819,-410.5072487545384,-2677.1986652836936,-2339.739438531245,-1822.1907179603245,-1173.855234644751,-1816.257978579184,-1739.574906529641
RGI60-18.02375,-43.5312,170.156,-362.5110980193214,-567.7100203903533,237.4419636958613,504.9873773768867,305.4710731185189,339.6423760701687,-1168.8139972808897,2157.297955861024,-523.9858640460193,336.32050766607773,-769.4393446330814,672.6256374552595,1408.6899563468023,-521.950063379786,-540.1658342565386,-297.31082867159546,1119.2296988896453,21.53198788821481,-825.7792140350473,-325.12785989736744,-442.9570582624703,-1168.0330855149302,1518.948148335436,-2099.6800646788547,-173.13765031522104,240.76130087961116,-1229.3174362845791,-755.5605243088405,-1887.5072534467456,893.9919516345739,298.7445082748547,350.45629428403527,-1831.3162390287737,-931.0206268778364,-204.40259064118405,-2018.935418222001,-731.6883035968833,183.56870497914343,11.515285627416088,55.13333973850282,-1378.6987229010656,32.95119675322719,-2253.954722770906,-1888.4559758122828,-1408.3470116141866,-711.1210510854129,-1387.5456353558934,-1307.3973525901629
RGI60-18.02910,-42.89,171.526,109.47527683169793,-114.09608676195012,757.5174191539712,1046.2759013164905,828.6453550444145,864.2520746069416,-772.4933687888429,2831.4771090962663,-76.87241599475328,853.8417421160659,-346.8650622781961,1214.1881189408712,2009.7345074741704,-85.71146045690331,-108.25797914223868,151.9476668802127,1684.175295053084,490.56498891153433,-431.98303187254726,106.30057643053,-26.29581378366904,-817.5889668968291,2089.5580718622305,-1838.8220983492745,244.63916380200348,610.0941569388291,-859.0419522985884,-383.50501380641214,-1511.204210873441,1187.6062732319574,659.8718828552887,745.8905027745735,-1324.5133400442544,-472.3075007073202,293.0468664100895,-1785.7915112031044,-216.81223133757575,921.4685130923816,223.8486873990148,837.8094208335148,-791.1800828083689,497.22344750002,-1559.0073297044846,-1693.9677947024886,-486.2180566434713,-706.8341112182865,-849.9681436583209,-858.647046875026
RGI60-18.03385,-43.1769,170.806,-259.6380611828937,-466.0533390764799,346.73236211447664,617.2603066055977,416.69448377707255,451.9017855869708,-1068.92517784405,2287.0502422659592,-416.716637077091,452.0733009495671,-662.2781909867168,793.508211012578,1537.2299129129958,-408.91135973904585,-425.8262045433771,-179.26163963956537,1251.372614002643,145.9926341709427,-706.6459849297552,-199.3849853875667,-315.82779697759173,-1044.6720098118317,1668.3726673049343,-1979.3143892992773,-33.92606079357213,374.7108859388841,-1095.5869340047016,-622.0988780874428,-1754.3072022237895,930.3917853522375,361.1788921951148,425.9509332853958,-1699.1810749041786,-838.4079796955366,-164.45135252651068,-2061.82812141679,-708.8710406144422,265.93957637514626,-59.32797778789164,163.92020807243767,-1303.3559763194105,47.23401559234699,-2136.319817490827,-1928.4491705331727,-1238.1434249034469,-830.4898725974456,-1330.1595494492744,-1280.3086952476503
RGI60-18.02616,-43.6205,170.361,-294.81064652081864,-500.3077542895408,304.62262359467945,571.8711428272218,371.9867360329874,405.7832434369604,-1103.229835807632,2222.75509442478,-459.2781496071251,400.57266609171904,-705.8877931808659,735.6590981618612,1471.063592693733,-460.5793871826727,-479.7135814009864,-237.86957434812803,1177.634155666895,78.4919443747493,-770.4350380817641,-271.4997871645049,-391.3721730319431,-1118.8472808962456,1565.7689168952045,-2056.028908767429,-131.94239093737448,282.4015795816994,-1186.8059550308706,-711.303586547001,-1838.85114113321,969.069512665206,383.0090469475712,438.94481552106026,-1733.9559392143542,-835.4755850353167,-106.607830673752,-1929.9479293334923,-636.7573272950658,283.97320622661806,93.82282231148508,135.98618820803398,-1303.8110409095295,98.45000568913854,-2176.0542141197784,-1828.4080661424453,-1324.5569052089286,-658.0719886241814,-1313.3001673710946,-1235.7556303613092
RGI60-18.03474,-43.4672,170.222,-245.76740597976885,-450.7154215297726,354.70430577369484,622.5350603639782,423.3235464595477,457.8215290954241,-1050.2848941011398,2276.20642621641,-404.6714227610567,456.076252113525,-649.2058686903265,793.3804584268696,1530.0134596165676,-400.0052275947636,-417.53712555082575,-173.92804488243814,1243.4470605988256,146.67344491129103,-699.6107423548099,-197.8170883089596,-314.3806722266295,-1038.0673288140206,1650.4070962293704,-1966.706387839224,-38.82850382852765,374.8783425256228,-1095.5131205619557,-622.3403558494222,-1755.6571628638198,997.6270116382608,404.1963327922192,456.946711579385,-1716.7167220259334,-823.8090348830781,-110.19943622681508,-1935.5561314075744,-641.1874015715985,281.2759965031221,89.53213312378057,159.10845645772537,-1276.6367095412663,125.28022203690536,-2145.3002597308086,-1800.9755591975372,-1294.1385590355803,-636.0284587007504,-1288.0528566891444,-1212.1844102872114
RGI60-18.01625,-43.9925,169.884,-149.25843346853873,-355.8308884753865,454.7623121574301,724.1264434601671,523.2824481806023,557.7051787109654,-960.897426563974,2387.671649587319,-311.6562484919035,554.4930109583795,-558.6728355768116,893.1752245100419,1634.2736983313573,-309.2993171556138,-327.5359314571772,-82.92056482774785,1343.319945678841,238.4008788275457,-614.4041099566215,-110.10902737493755,-228.40573351819387,-957.9740813029214,1747.5974912994511,-1894.894798633052,45.16618963599242,455.0026891346597,-1015.3047549619744,-542.014619196212,-1675.1567943017203,1180.7721062907249,550.8989734552011,584.5460876902029,-1662.103088726792,-731.4912184664541,-17.183271482381137,-1775.7173947886567,-531.1792071870417,338.9995574864232,292.83236186665783,236.8700200257359,-1179.6757360178487,310.9438046953667,-2093.1790265633595,-1586.6078219018063,-1278.9947367634666,-326.60708959505547,-1169.2456182867527,-1060.7111278766242
