RGIId,CenLat,CenLon,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RGI60-09.00585,80.1877,52.8621,-802.2499761909913,-1449.9303154943238,-681.3184930497267,-255.9020489303552,-903.5782471132356,-913.196988349156,-521.6122989828955,-792.2506725587377,-990.3809387804292,-714.801164733229,-685.7410692903738,-705.0165066765798,-724.289795268523,-912.7423169720572,-1318.7115162055156,-922.2744983198684,-332.4845164965153,-636.9367698016126,-332.33261389507715,-298.4156636227009,-805.8761177650499,-522.9803196019063,8.089908003914633,-811.8032639082396,-461.7480568963757,-446.5817172219811,-191.4887569144608,23.60961739993081,-831.2861851712037,-186.11969815357813,-325.9856491328597,-0.8610796436848123,-445.7061655250228,-610.5650360884491,-382.0812534744109,-430.1977564398449,64.97419004866674,-144.8023786369309,-629.6158698547606,-439.3752815389852,-189.10705890551367,244.7536868876929,-440.3262604739635,-366.6638513005425,-638.5773030983053,65.71292425010915,-177.54954276387625,-871.5497862937032,-40.745514939082845,-494.280707351725,-307.6084213166291,-277.7222052991239,-670.7159995690621,-338.5999104548156,-132.86382278939595,-638.0590717685493,-320.93283343417147,-592.518440769541,-748.7289704873298,-610.1748965537795,-393.7639427419696,-316.38447704941905,-15.572000272722631,-427.89318442236106,-161.04166656860536,-844.9237454284619,-212.7928738737405,-976.1166654425036,-144.39416854527633,-653.259760115257,-1049.227939140236,-626.0773631507082,-802.241646707738,-632.4947094155649,-1580.2689295223613,-556.4429281237078,-1457.9844847327518,-906.1814795340722
RGI60-09.00070,76.5794,66.4581,-637.7212479844136,-1286.3040072507038,-517.2426051328846,-91.71538929235464,-740.3212955493315,-750.2667288309323,-358.63376284782964,-629.8710873434304,-828.5422138385136,-553.0603628351503,-524.3478458326766,-544.0308048603869,-563.7258588843697,-752.7777231589125,-1159.5711367254837,-763.2042519690997,-173.31645323840064,-478.5489014783841,-174.15984338545564,-140.73934980366266,-649.239044281286,-366.82985027614967,163.64398853467634,-656.8809238879288,-307.4733805482563,-293.0119175023246,-38.63876146217353,175.70342860509507,-679.9877294562012,-35.672362447167615,-176.42563410822032,147.76623071911067,-298.0706018498884,-463.9741295223499,-236.19200435676743,-285.90615168753493,208.01224220052885,-3.110692324722656,-489.3500816836856,-300.6459712843699,-52.02872577440348,380.130266574306,-306.90583936572455,-235.26232743862607,-510.9717631235022,190.70349363911015,-56.51107330338476,-750.9965551558342,76.67096078375995,-380.01178123069633,-208.82660501026783,-171.16963343996008,-568.5575385213898,-241.431501666414,-42.56689451423443,-547.1353086243469,-225.2805555531704,-494.7722956873789,-646.706248071551,-460.0527878740955,-235.023783534906,-153.899473400882,148.82831898420372,-264.9591925359179,21.49833267521809,-659.54412844635,-24.716401067339948,-781.6949910866645,64.34959591490906,-376.1127057892805,-769.7704224377965,-342.4144445614557,-515.2110717664749,-345.4980610353983,-1297.7260444706224,-281.4315468114996,-1188.2669981862375,-640.8770342065787
RGI60-09.00081,76.1119,62.6657,-1516.0447966312263,-2164.541071647297,-1395.48500832105,-969.9389331364506,-1618.4536002982263,-1628.348080638703,-1236.6887425852724,-1507.8540959149775,-1706.4559543270414,-1430.933853569969,-1402.162513449391,-1421.780992715383,-1441.4089409393855,-1630.3797572813878,-2037.0748131008072,-1640.6592702262983,-1050.7321623459695,-1355.862745802353,-1051.4080679107117,-1017.8999432647892,-1526.2718443320282,-1243.769583366574,-713.1924319293274,-1533.606732219018,-1184.0853240003985,-1169.497924859348,-914.995610885826,-700.5163787834917,-1556.0618695468536,-911.5885135647196,-1052.175387803625,-727.8064946814623,-1173.4524344197769,-1339.1520792997962,-1111.0616474454175,-1160.6243038640778,-666.4487747350577,-877.2901622445506,-1363.2251469278312,-1174.185622671151,-925.1991252309414,-492.6649142302098,-1179.225941657828,-1107.107352684884,-1382.5635203234094,-680.2910158721273,-927.0348486668396,-1620.173667692416,-791.5552808836995,-1247.2061947536774,-1077.2025149909657,-1035.5727608220536,-1431.4248584203017,-1102.6007774827146,-902.6631164531595,-1407.6142381450582,-1085.5619238407417,-1356.2780139435015,-1511.447967260885,-1351.044731440771,-1129.7232616472645,-1049.9305722072909,-747.3234193870549,-1160.5752481885877,-857.4039860661953,-1536.32945033528,-901.0203464665004,-1658.004315224666,-813.6374138792241,-1266.113448090529,-1661.4492727278594,-1234.4870986851915,-1407.3239184123568,-1237.9697085126134,-2189.271902791937,-1172.7924246079328,-2078.677883813285,-1530.5702492939852
RGI60-09.00932,76.0787,61.6965,-881.9632333909676,-1530.2787964147428,-761.0875525414525,-335.3890357809405,-983.7078067028192,-993.4235324444446,-601.5938893879828,-872.5592843348524,-1070.957352495409,-795.2415700755026,-766.260696305364,-785.6604644511873,-805.0618436602969,-993.7917889303492,-1400.2294935277987,-1003.5758950664324,-413.4078385288675,-718.2553336420656,-413.528270143909,-379.7265138527509,-887.7731930236612,-604.953943188968,-74.0429373485182,-894.1079106979003,-544.2223439047654,-529.2518734891551,-274.3498109671904,-59.45141900447173,-914.5569334189532,-269.62021244614795,-409.7204066566809,-84.83925613119804,-529.9446066711472,-695.0739260868507,-466.3624016112695,-515.3039463235074,-20.45189679899868,-230.574488584621,-715.7464682116147,-525.89414669634,-276.0413001316142,157.40682241169307,-528.1597687547011,-454.9949181545858,-729.3844379101175,-25.91343177998595,-271.4175019296843,-963.0758050036144,-132.9994945665651,-587.1392174278726,-416.0371960692639,-372.2841573407014,-766.6059180853432,-436.40878276880096,-235.579743239026,-740.5408817413272,-418.26116523482455,-688.7274333003666,-842.9926701901278,-691.264392902661,-473.89274749182414,-396.38084596836967,-96.23975427880232,-514.5121375578468,-246.13722184650197,-930.6121504731228,-298.24350964735413,-1058.1071689364856,-219.44689145649863,-693.5592187788782,-1089.7555058303287,-663.22781458371,-836.3188565654447,-667.2056396106673,-1616.4759980672795,-597.7319515297816,-1501.076439556892,-950.5532078281876
RGI60-09.00138,76.0497,62.1375,-472.2617423199242,-1120.6959186821573,-351.58435578235293,74.02102082199413,-574.4261798475814,-584.25498585888,-192.5302860193705,-463.6242543337718,-662.152915294448,-386.5580518489111,-357.71004315531883,-377.2489897011544,-396.79469557160905,-585.6794294676974,-992.2841323178416,-595.7797946953525,-5.761708793658535,-310.792569639035,-6.23805533708331,27.375386977082183,-480.883907355859,-198.26821579884736,332.4273417015099,-487.8634264236139,-138.21376904450975,-123.49180868745334,131.15025246831613,345.77539639937527,-509.617632620334,135.01559069838152,-5.404320663989072,319.13928074239254,-126.3233914311296,-291.8310282119182,-63.52020116055185,-112.88975150434766,381.5080367911421,170.90053914270865,-314.7890043299244,-125.4911726762407,123.76682849745671,556.5806038922946,-129.6776080526222,-57.25137478600041,-332.4489577461846,370.1530570751239,123.70230363094312,-568.9714198671401,260.0010096126132,-195.3169703961527,-25.521970533017143,16.9152656655261,-378.7704284547693,-49.89467958110245,149.8492873821368,-355.0102734096075,-32.58821330121434,-302.84971678511846,-456.7681728903426,-293.35881452033766,-72.80064669985862,6.389201907720198,308.1783744343046,-107.00493383075758,181.46129040421897,-500.1151888311909,133.76337832222924,-624.6394742264514,216.78645512959253,-249.17331077583268,-645.5666965264563,-219.0009248780604,-392.0237428135106,-222.86523980974408,-1172.963449172207,-155.25656860975792,-1059.75124242495,-510.35400090106776
RGI60-09.00001,73.9686,56.8706,-521.2222103781749,-1169.672400623074,-400.33754121572895,25.437028370817675,-623.0167039370924,-632.7420979237114,-240.84337869046004,-511.8699539010804,-710.3150526861165,-434.553295394725,-405.574988173226,-424.9869068321088,-444.4005121495435,-633.175999845015,-1039.702051576069,-642.979137467868,-52.703787998374494,-357.61974701603026,-52.84142601139013,-19.04156661250544,-527.196466016836,-244.3673282662474,286.535366189364,-533.5375244083806,-183.65991551138595,-168.69646191101748,86.19857388843054,301.09046815791504,-554.0208972450781,90.91107246100393,-49.19314164219324,275.6850420779581,-169.42176874289862,-334.55101356296126,-105.59221924709873,-154.77418208281352,340.0852199513734,129.97367422097622,-355.1833505073311,-165.31078630709467,84.56851066258494,518.0255872785426,-167.47812099358046,-94.2864884295246,-369.5101119996848,333.93285264724614,87.78903399643187,-602.295898687998,227.94657520486385,-226.02665712355812,-61.63981618383796,-10.554985106740071,-404.7812207531293,-74.59974078256789,124.70501114325155,-380.32792447033614,-55.855977606496175,-326.31785643130524,-480.8727158669429,-333.2512426333092,-117.08356506858304,-40.33045446635823,259.11392621693085,-162.34154031813074,106.63848899043585,-577.8821265975348,54.60786027624979,-703.7827900231655,137.21969086745125,-322.16291537743257,-717.9927367695026,-290.017097078496,-461.8193584488429,-293.05631252584044,-1242.825665190178,-226.4693164670183,-1130.3025841067142,-580.2502336945605
RGI60-09.00005,75.5001,58.2102,-459.6947133899965,-1107.9879863248898,-338.8187854926911,86.86819981151245,-561.4288530423744,-571.1429923811488,-179.32453555711237,-450.2807589536763,-648.6722407692764,-372.9650036231768,-343.98538860681094,-363.38535334713566,-382.7874238701181,-571.513335042663,-977.9408345788552,-581.3027323475178,8.843040987523752,-295.99969742555635,8.71218951515332,42.5061587977433,-465.53260048184336,-182.7254647403708,348.173849357516,-471.9029393928673,-122.03367358602448,-107.07658846798428,147.8060540500226,362.6823730535837,-492.4482154059418,152.4626614954371,12.330915443746804,337.17532226310425,-107.9707457561848,-273.1475905935264,-44.3735633964239,-93.49085764866048,401.2906515964573,191.08916386716027,-294.17594827651294,-104.42878021198906,145.30318027165345,578.5783051078126,-107.12731539861434,-34.1822111206718,-309.2104737392489,393.9471776309328,147.79677147675773,-543.5370724593872,286.1127923480135,-168.6011016364024,-1.3610181979018736,45.00400089591931,-350.2927390084863,-21.15558919311206,177.94973685007807,-326.8766950027229,-3.232911534727495,-273.0723089133418,-425.9136419354785,-264.7498562979761,-46.23249904634352,31.883595800456625,333.05140895214856,-83.58344445598765,199.4763221209537,-484.6908605802287,147.11048857479415,-613.9523365219492,220.2004005685621,-288.45491996479007,-689.7394125095935,-264.7779936352511,-438.4176547554485,-270.08206041464007,-1216.678953223065,-196.151636397907,-1096.931751337555,-544.306883335871
RGI60-09.00006,75.5221,58.7392,-703.9319774846581,-1352.4778222968891,-583.5476821721031,-158.11268611982288,-806.6858519725063,-816.6752516474235,-425.1351365478206,-696.389001276422,-895.0870096705795,-619.6897482761074,-591.0347861096958,-610.771729337877,-630.5230165760796,-819.6135665829979,-1226.4225693053552,-830.168491747967,-240.4191360299968,-545.6877181548039,-241.40978927921395,-208.0719957805653,-716.5943088804548,-434.2824191728674,96.0985285394361,-724.5203482384799,-375.2176587065486,-360.8549200155832,-106.59456170560608,107.62870035064364,-748.1880166793283,-103.99939611504044,-244.8914114289314,79.15142962646077,-366.8412671507343,-532.913142608367,-305.1002533103319,-355.20999981158,138.50367711860656,-72.83435474082675,-559.310292877365,-370.8562351128421,-122.50738197538033,309.2915502124784,-378.0085258661767,-306.7683079127686,-583.5909711595136,117.58811153913472,-130.6656845380802,-824.3873908030362,2.774933667797269,-454.594833878419,-289.825821242166,-246.8125749583164,-645.1072741127991,-318.8256986408372,-121.95313655346048,-626.5728293799915,-302.7714314410979,-572.1925196310334,-724.2838996545678,-535.7762106848834,-309.9965256994467,-228.37240644317427,75.779858911516,-335.8967112661233,-20.21360825457709,-698.4650236845879,-62.93630974120063,-819.467658965119,24.59443792422705,-436.89047543003466,-834.7079867707002,-408.2833069963164,-581.1485501781312,-412.2804357767395,-1362.7070211324076,-346.49235538158973,-1251.7241539651832,-703.2918692254201
RGI60-09.00008,75.6708,58.5799,-768.6467790922076,-1417.1960012044217,-648.3130221296731,-222.9155346158999,-871.4944129558901,-881.5097740780161,-490.0087154118506,-761.2824603062463,-960.003552573274,-684.6448261248291,-656.022019916235,-675.790825995459,-695.5752197020648,-884.695051195253,-1291.5281202259946,-895.3239755547379,-305.63200190221363,-610.9324623448208,-306.7067037276079,-273.41475469359875,-781.9684892505584,-499.7084377969967,30.620987548163328,-790.0516354674908,-440.8058445629118,-426.5020014914557,-172.3043124588739,41.852911782203215,-814.0334915775463,-169.91804825616123,-310.88787805695864,13.07230879955316,-433.0079919073844,-599.1732912126707,-371.4683567834468,-421.6757383164237,71.9239423456233,-139.5361397635225,-626.1438870228269,-437.8317469985633,-189.63643071976384,241.9925674229121,-445.4871243401912,-374.4478820364807,-651.4555669453985,49.48730204290905,-199.0039212680645,-893.0692985105047,-66.23505572233553,-523.9795056410843,-359.3721269604099,-317.05415205598274,-715.8381228176798,-390.04523080147936,-193.5603559973684,-698.1097802448924,-374.26117872115935,-643.4430699800506,-794.922425850501,-600.1180898154665,-373.2560784119158,-291.2143617098652,13.170433335553188,-398.2687744623896,-82.87297694519147,-761.0639995436887,-125.37635169098311,-881.616462595522,-36.79698801026457,-493.89276251346,-891.2463905084562,-464.7171754457145,-637.5577031337095,-468.6281255733314,-1419.3721623631818,-403.4769013119269,-1309.0571053165354,-760.9713127437713
RGI60-09.00009,75.6894,58.6143,-793.3381265559692,-1441.7193948976255,-672.665757832372,-247.0914066831787,-895.4855953635516,-905.3113019866696,-513.614874247922,-784.6852404154056,-983.1959404991728,-707.6201641672958,-678.7719109204897,-698.3067958843867,-717.848407871529,-906.7157729619962,-1313.2860494551828,-916.8100697928106,-326.8354508514672,-631.8397520557496,-327.30633342878184,-293.69277809996726,-801.9095643700064,-519.2983494941137,11.39880107199255,-808.8885379431956,-459.2386193402479,-444.5103991480304,-189.8665258947109,24.76040225559285,-830.6308800553404,-185.9927949547717,-326.4101185694113,-1.864950709980313,-447.3248767719579,-612.8311321093877,-384.4270487808358,-433.8842812790784,60.51451304648589,-150.0899073246769,-635.7793628873974,-446.47935952783206,-197.21865439475437,235.5626069064141,-450.6680581617049,-378.27013657874784,-653.7879964956536,48.77642901960852,-197.9305263230536,-890.054968142977,-61.0689376678806,-516.4437269354457,-349.1718001216138,-304.09041448069803,-699.8659178307685,-371.04087375428406,-171.89576666234404,-676.8177547868762,-353.6015506555225,-623.9390164037857,-778.1654303464164,-617.3339604983045,-397.17292695871504,-318.1126071851937,-15.956856969743562,-430.6027088146449,-131.59138037889738,-812.2923745788704,-178.33410683391372,-936.828689804214,-96.94890372036303,-574.8221966585573,-973.1294839691392,-547.0600886328839,-720.1738151974238,-551.4141370656532,-1500.4895483712185,-482.56570760411927,-1386.0645041366995,-835.9523402203181
