RGIId,CenLat,CenLon,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RGI60-07.00493,78.8779,12.0311,-768.0696966130089,-1475.5293271822336,-633.3125882588183,-166.4654953054043,-873.5534382784966,-882.3810196371326,-452.0652925279563,-746.0726243461979,-960.49167426189,-656.3155681518305,-621.4843021696236,-639.0781093014273,-656.0966932095315,-857.4911537527481,-1295.9553421052124,-855.3795112636446,-202.0627319171593,-526.710211570359,-195.2999177777732,-161.5984848773907,-724.4075070109795,-454.3937686457258,69.40727323977079,-747.1975931201918,-425.8543467618266,-394.2389262129267,-146.42289966361474,61.92155583622037,-799.7404270753827,-143.3875079079586,-286.23514836916854,26.60783360533075,-455.58248212097374,-632.6858565556429,-418.0652120048421,-449.4819703884275,39.13746856865159,-164.04577225170027,-658.7084969082845,-465.3943138180131,-208.3973120878914,248.26898252156812,-466.9674315088072,-312.13191614195114,-554.0849555510615,105.80854822307596,-116.18937909137892,-904.167190313486,-99.56118801709763,-657.2979372755578,23.234389792535232,-426.8857851626584,-684.0363628853777,-315.5264386371165,1.003105130771878,-413.7250171192843,-433.27751909124623,-704.7407782050749,-888.0663358158648,-723.7467945794745,-439.9260792263873,-238.9733928084275,28.83799802291617,-127.96223415882596,-115.72123688169108,-830.7214575006685,-144.4515126773444,-918.8093652320638,63.45634366761966,-428.5260576490302,-989.5963250926134,-468.9507156251939,-667.1994034902742,-458.7637561623627,-1462.1263470436672,-369.1927039373617,-1308.5340495911566,-813.240175955933
RGI60-07.00244,77.169,15.6961,-1557.2487018422617,-2206.731798850484,-1435.507399164679,-1008.5391507089917,-1657.9957647444403,-1667.4007168710823,-1274.344810190168,-1545.5640188705129,-1744.039789537855,-1467.32088947418,-1437.8781912632924,-1456.9100615220057,-1475.927682861989,-1664.638281455876,-2071.5289535156967,-1673.5013903935635,-1081.5036012908122,-1386.5149361357894,-1080.5565602151082,-1046.109096566547,-1554.7039356099772,-1271.0522628786157,-739.5306886288532,-1558.8880655067774,-1208.3724656984095,-1192.5219338658026,-936.856539940456,-721.1514003106499,-1575.403086655974,-929.4493299177616,-1068.5551680325725,-742.6523851613169,-1186.6246076325767,-1350.5923828028367,-1101.2579778626882,-1168.136798619718,-671.8545543983895,-880.3585382611413,-1363.8898895217542,-1172.1807326836845,-920.293469319329,-486.14401612683486,-1168.208757238658,-1093.202544312968,-1463.7741947700974,-769.7540457690783,-1094.06601440235,-1625.762786896356,-784.3362187181426,-1283.5119251685376,-1959.69612038316,-1041.096222823246,-1456.90323207047,-1134.8639556624514,-1101.2557019446283,-1617.3387365467877,-1118.731365499976,-1367.4627246731104,-1473.658137459886,-1251.8535775580815,-1107.6624953251026,-1096.1651047666155,-852.6198647578525,-1518.8938842420184,-914.6193050551273,-1594.143183737543,-1021.7745609688512,-1640.9978215516007,-894.7182735054178,-1451.680820264717,-2025.227537599911,-1534.12461971486,-1603.658997818642,-1508.4221008836723,-2370.2289338248074,-1540.5333524055695,-2329.0881963331003,-1716.3942633926697
RGI60-07.00239,77.1534,15.9232,-1034.0844402559214,-1682.5543954101718,-912.1170345838012,-485.4913307179788,-1133.9146029497924,-1143.0926179446064,-750.3136381657037,-1020.9567194455576,-1218.9400181530225,-942.323534504603,-912.6588738203536,-931.3965823669688,-950.108830545692,-1138.2863137885458,-1544.35367556671,-1146.5127140985323,-554.9336006020955,-859.2073432538516,-553.2715089569579,-518.4832821783049,-1026.0273652095857,-742.0697364522791,-210.10163090090435,-1028.9869962381886,-677.9739415598488,-661.593993648158,-405.3690751417532,-189.0691892813937,-1042.687310954111,-396.0556409361892,-534.4368341277661,-207.75657613310423,-650.8910324048834,-813.9542316738507,-565.0551898062345,-629.4478200899077,-131.99658968521328,-339.2137753611621,-821.3225652423137,-628.0273527789818,-374.35852733124426,61.80435360896203,-617.9422069211897,-540.2896313103846,-900.232163236152,-201.44295381886133,-514.8265017234567,-1052.1765401736377,-203.71844143283795,-686.8895297871011,-1276.4729598978938,-409.0934681488274,-839.8812458691278,-546.3327137121838,-552.48446912386,-1067.53022157166,-579.793572363641,-861.1291168981496,-979.803419592822,-769.9611945355603,-623.296498164593,-607.9183265776958,-360.8244504994999,-1009.9060551719372,-453.0951417984818,-1136.904046989205,-560.4331599785493,-1195.430460399939,-442.4504265627156,-1003.5774656281424,-1560.767138257895,-1075.9792833659208,-1155.4723790393762,-1053.2721510079084,-1921.5046552944664,-1069.695867721952,-1867.6903010148865,-1257.2768160711407
RGI60-07.00246,77.0799,15.394,-792.4879674872923,-1580.2021395257752,-645.3769259126414,-127.95580859673788,-915.6625115790451,-927.3429406974766,-451.0662714193599,-780.2048458293508,-1021.1556569456412,-685.9643343414618,-650.5965936313512,-674.0146010766236,-697.4284481749843,-926.6016729641076,-1420.3236406833,-938.132213566848,-220.77675166023764,-591.0242116337517,-220.51576026626387,-179.22273938007652,-796.366733362434,-493.33542109590985,37.77330062868349,-782.0252878026419,-431.9582740530616,-416.6065858779908,-161.44516560359585,53.72895954805528,-801.0829994055404,-155.73546190140763,-295.4720374027252,29.766724965614504,-414.9162080250697,-579.6338900783386,-319.8959049251799,-398.845131586168,96.52378888982366,-112.96983191335916,-597.5517783812176,-406.9854475448967,-156.3359668927753,276.6094862579081,-407.0082012919132,-333.5504804474912,-706.1953529719725,-14.124876208450996,-340.8352158181884,-874.3960040512774,-25.114708302014176,-537.6221377516689,-1219.9509839546806,-301.9345961369346,-721.4899594414487,-381.2109331429904,-403.081227901248,-861.0818924665393,-242.1739666377114,-636.0690467893943,-737.283932801955,-466.5116937079261,-313.96193749092043,-299.1496934852745,-54.124976600471385,-817.8798019961496,-1.417991566577304,-896.9146660059391,-157.31873158133095,-1058.9117480822176,190.07353003283023,-526.2774719284396,-1280.5979325251851,-642.9942069820231,-647.4515710724677,-653.1063776307869,-1486.915843676038,-691.5660510687604,-1401.3865505262263,-872.6077722374456
RGI60-07.00240,77.0748,15.5799,-1188.21744351991,-1807.5164162937187,-1071.807362706801,-664.4261347241928,-1283.6790787772354,-1292.4740341314969,-917.4129516325688,-1175.8959711316147,-1364.9900274703448,-1100.8559844800186,-1072.550491670768,-1090.4652985292146,-1108.353085204945,-1288.0711607254038,-1675.8628443958978,-1295.9453729945044,-731.0095219300254,-1021.576345196371,-729.4070219965156,-696.1661431210914,-1180.824360373514,-901.0578750180836,-369.0790059475771,-1187.9460481669964,-836.8892175875934,-820.4649275817903,-564.159360261127,-347.7513928808674,-1201.2282912335004,-554.4249038263639,-692.5787641340077,-365.6086369887945,-808.3839830339899,-970.9941903910152,-716.6961314430133,-785.2307073983761,-286.9050215584802,-493.0401509074141,-973.7917327388752,-778.818183343088,-523.0792468655384,-84.30863057927805,-761.1634886316549,-680.0223185147463,-1088.882987025589,-395.9413143611163,-761.0179964697203,-1228.0689509917097,-392.6400695644259,-926.3873601652954,-2061.572541453232,-690.7210861951844,-1130.7538077407771,-835.6636055740257,-881.2129709762606,-1454.3166537366094,-934.2717759313076,-1114.0885764329869,-1178.7261811398178,-815.2028701253511,-707.2872120608517,-742.1944454285272,-541.6205852920037,-1326.6765596003995,-640.5281775044243,-1220.7713288788975,-765.5790987339333,-1145.6149945332877,-683.5633482479152,-1132.7426917427017,-1750.302710439445,-1271.0249086800334,-1289.6971576405365,-1203.1672898546994,-2017.3452388898309,-1320.2282160395682,-2055.2628416780462,-1371.4606842732828
RGI60-07.00006,76.9375,16.4289,-701.8568349648499,-1355.5774929921563,-579.1574157259615,-149.2766321382827,-802.9641646256723,-812.3488044871294,-416.59846976570606,-689.5304092717441,-889.2333652576938,-610.5843734679385,-580.8502077710503,-599.9093902595675,-618.9510829884756,-808.8089485747023,-1218.2918092930115,-817.5095041773335,-221.4655712831088,-528.381502400716,-220.26777379362323,-185.4630434662393,-697.3010266627141,-412.8898613586269,118.78201947997212,-700.4253948543919,-349.74445106608266,-333.7413564697146,-77.90359084799518,137.98027154027352,-716.0860826086072,-69.94992976817791,-208.85941144287185,117.24998700256477,-326.5120355841343,-490.2580553117053,-245.9320974269235,-307.3457155946072,189.18109276685027,-19.078113814564503,-502.34946403713786,-310.3818047806644,-58.23420504530651,376.3168473051696,-305.58970505335026,-230.4524004797661,-564.7551891624739,134.08562555744737,-159.99798976131444,-747.846334675849,90.40367743486246,-385.838621592368,-729.8084744969906,-150.55551032383977,-557.0559747020305,-234.68102379786365,-148.0041163159646,-655.7690724742866,-203.40777684485988,-464.0028032188965,-589.5265876824259,-414.2604721347372,-246.63565341461555,-209.99911563519208,55.86548620270916,-529.0028925768077,-76.77362746376005,-779.8348521417001,-175.71492174946522,-875.8186689509255,-66.60557131602688,-634.8082611738088,-1147.1907567625374,-675.0455237063235,-783.973789036702,-663.3954441264091,-1558.0384948931242,-643.8216935831001,-1477.8267640611532,-891.0811085091742
RGI60-07.00254,76.9419,16.0674,-922.1758888406324,-1578.0849016600805,-799.2192693000128,-368.0184831287914,-1023.9008544510442,-1033.3941384596362,-636.4416665564947,-910.341745239205,-1110.7782353807568,-831.3150482325257,-801.5766482281371,-820.7929949224533,-839.9951944800504,-1030.5708753890976,-1441.4872779584548,-1039.5159147112652,-441.654174550755,-749.683838637579,-440.694864453885,-405.9058739206501,-919.5369416397032,-634.9592734352075,-103.42879748276772,-922.7866610981696,-572.2581555151653,-556.4236644588642,-300.75555379594584,-85.04956531732073,-939.3026078874002,-293.36734173386054,-432.4845825835136,-106.59249654517124,-550.5855649465701,-714.5735375150731,-468.6393231413538,-532.1925819094195,-35.95294441538722,-244.5204023820665,-728.1151122190647,-536.4952615224511,-284.71951552694804,149.4704414584902,-532.8846229747425,-458.1455779038226,-801.9563087458507,-104.78908616073574,-406.96528653137415,-981.3591970909258,-142.74572620034652,-625.2557913593839,-1050.3968067830997,-389.949707840732,-799.5661872376858,-478.1861953233167,-407.8566639008512,-915.6356168040592,-446.9963652890051,-707.8275732972347,-827.4974785099454,-628.26579279809,-463.9775879326438,-432.1548857108058,-171.30894524519067,-780.0235766476695,-291.1772988496789,-995.3963513989468,-393.9560221733512,-1081.727810837162,-270.3376534299755,-821.9490201196722,-1352.2712650309363,-870.5662652010247,-967.7369121709916,-855.4514170448954,-1743.0596424805444,-850.4208656339656,-1673.6856756608622,-1084.1820704780937
RGI60-07.00263,76.8673,16.402,-813.5227535732531,-1468.625709284128,-690.8770725803444,-260.33044788950014,-915.4144784638186,-924.9775246178746,-528.6418769650192,-802.2639110839589,-1002.5240207965256,-723.5303700527824,-693.930935592475,-713.2246509411154,-732.508409345252,-922.940671537918,-1333.4234056394048,-932.111525407284,-335.1768192172427,-642.9265534591843,-334.4896706996116,-299.89220913451646,-812.987626187868,-528.6959189902184,2.667919680418642,-816.8675285027175,-466.5219638120208,-450.8880078570965,-195.4257668958541,20.0625561504433,-834.4209613831321,-188.73407414947152,-328.1121228768422,-2.49627606270829,-446.7853826254858,-611.0878169685265,-367.8923967778809,-429.4081729739224,66.44365382480557,-142.5443461466967,-626.5894113579683,-435.46000297658645,-184.21732855933965,249.44777773430636,-433.5806901656513,-359.5647323138509,-690.5773766865643,7.48309217441269,-284.3152452566186,-880.932871533239,-44.82669298963329,-520.3109257327617,-826.3738567084296,-290.2516646789953,-697.8157424630092,-377.4980262569576,-286.35058931555324,-792.6598011754998,-345.5664555192507,-607.8649144174847,-734.6741323244468,-544.6911176020377,-369.0448086955145,-326.7194304579073,-55.587314578271794,-626.0057664519985,-155.72500630082413,-857.658992893962,-247.4691550681399,-955.4843083724328,-134.81538839585428,-703.3951452029204,-1211.912449682418,-741.7213935807905,-854.7300383573322,-731.7457913531589,-1630.3780029302377,-707.8294060808711,-1547.4964483666006,-965.0791437818466
RGI60-07.01481,78.7872,13.1481,-560.1738847493486,-1204.647892326764,-441.01600581694686,-18.63198720317936,-663.1902094243187,-673.3991332551876,-284.7498557555167,-554.5442927895713,-752.2845131241338,-479.0800002812781,-451.01115610227976,-471.0338688235067,-491.08577287855337,-679.3684929238399,-1083.933106932824,-690.7205002946564,-105.25970356004764,-408.8597867389617,-106.85456229742324,-73.8861437759202,-579.0452370690865,-297.12973055911,232.9780401633196,-586.5413240417802,-238.42609348714663,-220.8146952673588,33.48504132971413,247.7856613649505,-607.9127230402328,38.75605260571714,-101.23011857649232,223.07535423524143,-221.67109736003363,-387.362056976324,-176.39459972648106,-206.37102532500307,287.94566710954655,78.92197659149281,-407.22721518323607,-216.71564830677272,34.274308488741944,398.6341416739989,-231.0731679287434,-253.1136660918432,-433.057947153058,290.6442447628241,144.44611311844287,-593.3389301661891,266.8927270453671,-383.02422780303215,293.87839995222606,-68.1710004917973,-650.0942542496396,-187.06385231271585,257.06266228864683,-404.5448490951382,-175.58587181275482,-387.7683479054089,-654.225576728757,-506.8006758489496,-136.25191313446123,-84.63194952260889,318.30801946355865,-19.797451971506867,46.30881349299696,-604.7619961170685,27.215706130436445,-812.496454369762,85.58524765287063,-285.59769093657667,-592.2862075738959,-197.3941647937669,-405.6119733853395,-370.36935751001823,-1241.5366911400033,-181.8093791991797,-1098.2920762202482,-654.4666301639178
RGI60-07.00492,78.6774,12.0692,-1271.856411731173,-1973.4252082560483,-1141.1946145939664,-680.638764335592,-1382.215384641975,-1392.798700294885,-968.8949236254754,-1262.1642877860193,-1476.9144264558402,-1178.655473932827,-1147.375532746302,-1168.447130545216,-1189.5221791570773,-1393.8194374382783,-1833.6871929407316,-1404.5787718498304,-766.0814401487103,-1096.0295224819856,-766.3944484631711,-729.9133176403191,-1279.7360458939552,-989.3984735324236,-458.8371273407606,-1278.8778454340609,-929.6161253603578,-914.0411041262828,-659.440787968625,-444.8442553910284,-1300.2512250666498,-654.9679352111104,-795.1726024773493,-470.58718954723656,-915.7254359214674,-1081.1408767920134,-871.0692984455798,-901.2714829011608,-406.6756162396719,-616.5851475168864,-1102.1053991371111,-912.1217299700734,-661.974071066109,-227.8539089581677,-914.0408033712284,-838.2941849524061,-1050.44681507932,-339.544279098895,-533.0273489901748,-1322.099830055256,-485.4142654438168,-517.5660286762107,-28.82273830455025,-437.3452680692477,-827.586779625299,-586.0729517802082,-222.36454073322383,-700.391972840172,-501.7324616562682,-722.2291585153453,-781.7807950331683,-882.0155241375728,-762.0254790458498,-666.7613575540049,-310.40754238368646,-574.0539863953761,-453.6071086870416,-1151.324180559062,-642.866992348422,-1480.0966264511094,-436.3715897664223,-1039.1773090463785,-1374.755403157319,-1045.0887568308067,-1252.9436410124576,-878.3652220087073,-1955.5062815848,-688.6508519405428,-1858.6002128876075,-1243.6552193822856
