RGIId,CenLat,CenLon,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RGI60-16.01756,-10.4787,-76.7207,-230.13569626057705,-317.55139383413086,23.10547518198291,135.92503205083526,50.79365816278312,64.629117039777,-575.2416229258534,833.3389662693651,-303.630755964179,59.96409305092113,-409.6127739112775,200.2612578829867,510.8429689521794,-308.6905444655863,-318.09066779424774,-217.11806508832623,-1161.4023790685208,254.04911562292168,-350.70307748594024,-1411.7268375798756,-653.917497670141,-69.52512708321781,-1587.461813586735,-67.41012129801675,61.67201924975714,-160.86536683939454,-687.8718369827709,-823.8979652193236,-912.1474550235172,-1521.3049934644098,-487.5945097204455,-431.0587767111624,902.667211879502,-688.3797308869225,-1004.2869455757592,-4.340103177302471,-47.19392416744672,-271.7993381282646,-235.6210387776636,-400.22666965388856,-1332.6822323713104,-515.928616706527,-141.18222077292953,-661.6412151704777,-799.0562453378026,-69.05001547854174,-174.12566932993226,-1060.3218951817562
RGI60-16.02086,-9.65293,-77.2709,-1090.0145962289916,-1183.7051212802246,-852.7989220409968,-748.5841458514338,-841.1658518722581,-835.2748444252451,-1477.7269613648175,-84.01543807705809,-1212.9319022947957,-851.5881437276968,-1317.608186481979,-711.5486906914226,-402.6199773621233,-1205.3807890205942,-1196.6942184105649,-1074.5723692656895,-1995.68244979963,-561.8408002956429,-1152.7204833465914,-2224.1627567635824,-1427.7251949845308,-879.6026491375753,-2340.0800218199065,-823.2476959082464,-703.4311039800937,-971.2938903874148,-1494.0788741638246,-1630.0796441667276,-1691.5283539971406,-2224.501028110273,-1387.0230829959503,-1312.907839001241,135.01778547191174,-1385.5387249532378,-1682.846083117919,-746.607636280175,-765.3546127038128,-977.7913874562576,-916.672524459536,-1027.160524939524,-1981.037750543831,-1163.671673235189,-857.7620800771729,-1332.782848000567,-1425.424361714431,-725.3528281357576,-868.853564971836,-1717.991398600092
RGI60-16.01635,-0.151402,37.3113,-711.2827393649579,-805.2308675731254,-439.3035932883238,-318.13471427215075,-409.6165328433512,-394.7730026208648,-1082.188305324378,431.0296741569057,-790.387337350639,-399.75129429548326,-904.1572874559112,-248.8953548343376,84.87854936852409,-795.3656290252575,-805.2308675731254,-696.4392091424717,-1656.8034683152598,-240.8034683152598,-844.8034683152598,-1893.5180486257364,-1152.7430184417026,-543.781367788421,-2089.9417202610366,-561.9303795684259,-416.3547918612021,-646.6904824484392,-1176.31359656055,-1313.119657813968,-1418.5147360870294,-2169.9950450746137,-719.631398214787,-659.2123459913973,466.24715103431936,-1317.899878049059,-1548.3768703875012,-409.02656571382704,-503.07948141698745,-839.1078580859274,-800.9065286996215,-1059.84974038729,-1857.401574755096,-1031.0991651847216,-537.8113125539398,-1051.9129950858285,-1322.4648552411998,-513.0832802077142,-499.59823325241456,-1552.8034683152598
RGI60-16.01640,-0.151858,37.3076,22.808108288108254,-71.14000823063645,294.78722052394926,415.956084463779,324.47427727513264,339.31780565072427,-348.0974115216759,1165.1203796786403,-56.2964798550448,334.33951459552577,-170.0664158045796,485.1954352865389,818.9692979598428,-61.274770910243234,-71.14000823063645,37.65163666369989,-922.7125928508012,493.2874071491989,-110.71259285080116,-1159.426843406949,-418.6523551476329,190.30995167596015,-1355.8513229218083,172.16009455274457,317.7358833025396,87.40073278538375,-442.2224462389965,-579.0285088996388,-684.4240034290838,-1435.9044641134535,14.459393981083906,74.87841136129174,1200.3377301053715,-583.8091907341748,-814.2863621483,325.0638759710798,231.0112057537969,-105.0168840500437,-66.8156402234919,-325.75857262662134,-1123.3109078642897,-297.0083813679093,196.2796305103049,-317.82180021932004,-588.3738091906296,221.0076449710472,234.49268934621855,-818.7125928508011
RGI60-16.01637,-0.15318,37.3158,-818.2706073026493,-937.763310988182,-594.2452169649034,-489.3491323354138,-580.2402465740277,-564.7147496854525,-1251.3354820111124,262.8161996734317,-957.4882483003222,-565.5104811255791,-1068.2697453108951,-369.64601497741546,33.34997584961128,-768.1571411748372,-710.7697515276086,-561.3112358704782,-1513.004254247374,-117.72817750494752,-760.1710295080219,-1799.87854649689,-1045.5337537213582,-414.12557307121017,-1918.846315524876,-304.11726123244125,31.153356461342653,-198.434746615084,-726.8050224661093,-861.0789482835651,-959.794646473032,-1631.2716502003184,-164.25520831700544,-98.0266594380117,1028.258342915769,-760.714215056401,-1039.4440700308207,93.31640360087056,-4.148847132082588,-343.89745958336715,-313.55886665625763,-600.8642550448194,-1398.6110666993798,-572.4599683958552,-79.2799131480836,-593.4575222762701,-863.9207066146313,-54.63758007816679,-41.47341395985996,-1095.202716818278
RGI60-16.01636,-0.148697,37.3052,-28.969431930098963,-128.72245838776814,230.7474511144892,344.69533289207124,245.0927592257031,250.74694788898785,-447.13884114791074,1054.0605996245722,-181.2710219812772,193.10988424252272,-330.4806133107454,301.8899976571078,608.0244336002365,-305.99657592164067,-357.59193057112634,-300.70189731795483,-1325.2511481295346,14.478910240860015,-667.9843977699202,-1704.0188748818337,-943.5553972699375,-301.5751533051375,-1786.4562215968222,-130.1593014957448,295.37246167625096,66.26497517122468,-461.16412128534034,-593.4276675616703,-686.810355533463,-1285.0070903295643,199.0870583162086,272.39968787492523,1402.3991865877988,-383.8159654739147,-660.6677129369285,471.9396057510637,374.4164583560572,34.27094811745323,63.14132687922603,-237.7249659151911,-1037.3281049099994,-211.85711565573536,281.0167637605326,-233.3178522033772,-503.384861480992,306.2303622776485,319.6497948413654,-733.8730607206642
RGI60-16.01641,-0.155645,37.3082,-408.41597571706666,-509.0041456248047,-150.39861760243247,-37.34229398268374,-137.86192901039007,-133.14786259837388,-831.9906334333007,668.2373089489392,-568.0606883442433,-194.6321327189148,-719.132354178322,-87.59667390584289,217.8328486660313,-696.6839866076023,-748.4565389031881,-691.2636542891195,-1714.8237841060825,-373.2393092198147,-1053.1589357524683,-2089.943722120772,-1330.7130909594298,-690.8897320978151,-2179.951347174891,-532.6883444224651,-127.36264415992972,-356.3392250788792,-883.6153561038362,-1015.7090233691686,-1108.98815168316,-1681.2915597094488,-187.5385859679637,-109.0855338205636,1025.6790606626996,-752.2748637330169,-974.711774331116,167.00526303491733,74.91766671846867,-259.0268043059723,-217.37103801829423,-463.1229420023551,-1259.5392061718942,-432.5784799669859,61.16242638366025,-452.5993558319155,-728.0045755432807,75.26558087944109,82.22553486814104,-977.4784268998852
RGI60-16.01639,-0.152499,37.3053,-729.1761085072872,-823.9956789116484,-458.9505176774821,-338.66839466578296,-431.03351515805775,-417.0587073593552,-1105.3124269454718,407.1179997627445,-815.0045941206683,-424.9521038390774,-929.7609622425924,-274.6400580924481,59.37110892231023,-820.0923483026572,-828.4019606372109,-716.9658435493716,-1673.224847007807,-251.4193655448841,-848.5753456948173,-1898.866864062881,-1160.6307306861977,-556.0667188772045,-2110.636202609303,-600.6678804439998,-495.2303646821909,-725.3784146616049,-1254.7640024884622,-1391.2658368125228,-1496.292366150377,-2213.394421338944,-750.6113730810804,-683.6383336408785,447.79463140681736,-1326.1825236095935,-1490.7145706195834,-340.12275852769943,-427.19122249679697,-754.8771823404194,-699.00896426236,-879.0133789862386,-1671.6240706290378,-843.0818719855001,-348.52142214052947,-861.7993861754636,-1139.6463481001445,-338.86788552981346,-334.0907075438904,-1395.594816419054
RGI60-16.01662,-4.08319,137.181,-1026.291565846482,-1121.6122068816849,-756.759911458658,-636.9410933859835,-730.0289262677147,-716.7983095298001,-1406.4918581978916,106.10750869175504,-1118.247107359341,-729.3839903416181,-1236.426876672871,-583.0277937406954,-251.5493266255161,-1135.2563960122466,-1148.0945968299864,-1042.4101938764966,-2006.4107008400056,-594.1240993214869,-1202.1210662117385,-2268.435402461306,-1510.3363014655283,-932.6391748059236,-2446.407551370671,-926.0989915617148,-792.3750997355828,-1044.193509244399,-1570.742188781232,-1706.9092737462956,-1794.068714312024,-2494.095444577278,-1048.7812217150508,-984.3720037556434,155.47341112510304,-1616.8765184462616,-1795.1597081058935,-645.982266150458,-743.536204884015,-1074.2424059407429,-1018.1961323356044,-1199.2547458344684,-1978.8878941131568,-1156.0343397904471,-668.847023114632,-1190.1863499144156,-1458.410205778167,-656.4722260550474,-655.465488658047,-1706.2907864846727
RGI60-16.00528,-16.3047,-68.0941,-582.9155955938265,-719.4622500109142,-187.6361347000872,-11.553188810876858,-144.55036282143365,-123.0308949515174,-1122.1935247462889,1077.0182904799472,-698.3144075076889,-130.72553411374858,-864.032132824962,88.06984962987701,572.8579723918048,-706.8851277544044,-721.7182345628269,-564.218623575818,-1633.4314146152435,-218.40669597566423,-823.6437039771735,-1486.992016317562,-1384.1928615017198,-7.960133527860865,-2639.864707627404,-1026.9608178744545,-653.4216665914348,-233.5660550856387,-838.4668125678571,-1108.8119668892953,-1629.3771444929685,-2584.1423461505424,-735.4061064934222,-789.0959365080112,154.8992813131328,-1645.2740508956383,-2519.2303746935954,-1225.360889741496,-687.7990621215121,-437.1286522349595,-687.6750227022858,-392.376077044974,-2454.744353443736,-1334.6348490567516,-442.46464016055,-556.1735889983248,-1056.9193823217506,-404.2069279123858,-575.1135652056356,-1565.5577029665308
